Shipment Name,"OBL No. ","Status ",CONTRACT NO.," PI NO."," PI VALUE ","INVOICE NO. "," FCLs Goods","Shipping line "," ETD"," ETA","S. Price ","GROSS WEIGHT   ","Contract Quantity/MT ","Total Amount ",PROVISIONAL INVOICE VALUE,FINAL INVOICE /Balance," POL ZN%",POD ZN%," POL Moisture "," POD Moisture ",LME  PI,LME  POL,LME  POD,"Tracking # ","Due Date  ",LABORATORY REPORT,"  Shipping Docs/ provisional hipping Docs/ provisional ",Shipping Docs/ FINAL Docs,Last edited time
XIN SHENG ENVIRONMENTAL (M) SDN BHD/ 83 /GUATEMALA,GTA0192423,In progress/ Final,MTKEAF2024/002,04PI-2025,"$13,487.07",09ZND/2025,Zinc Concentrate Powder,CMA,"March 22, 2025","May 1, 2025",380.37,275.5,270,"104,129.71 ","$85,436.15",,36.84,,0.47,,2950,2950,,final inspection sent on 14/3,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250047-R0-AEDMM-25-00024-METALUCK-ZINC-Guatemala-BL_NO.GTA0192423.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%203.pdf,,"May 6, 2025 3:49 PM"
XIN SHENG ENVIRONMENTAL (M) SDN BHD/ 83 NOVACERO,GQL0382476,In progress/ Final,MTKEAF2024/002,05PI-2025,"$22,478.44",10ZND/2025,Zinc Concentrate Powder,CMA,"January 26, 2025","March 22, 2025",173.46,507.85,500,"87,390.71 ","$60,542.73","$18,442.96",24.50,27.32,0.62,4.22,2950,2950,2799.7,"FINAL INSPECTION SENT ",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250042-R0-AEDMM-25-00024-METALUCK-ZINC-ECUADOR-GQL0382476.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/full_set_of_doc%203.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/200009341_-_Inspection_Report_(18_containers_-_BL_GQL0382476)_-_Metaluck_Global_Resources_DMCC.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL_invoice_(1).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/MTKEAF2024002___GQL0382476___NOVACERO___FINAL_CALCULATION.pdf","May 6, 2025 3:49 PM"
,,In progress/ Final,,,,,,,,,153.61,,,,,,,,,,,,,,,,,,"May 6, 2025 3:49 PM"
XIN SHENG ENVIRONMENTAL (M) SDN BHD /84 /Nigeria   / KAM,LOSF00169500,Done,MTKEAF2025/001,06PI-2025,"$7,011.45",13ZND/2025,Zinc Concentrate Powder,"one ","February 14, 2025","March 29, 2024",363.54,79.85,75,"27,086.27  "," $18,720.51",1191.32,35.21,"34.72 % ",04.51,2.7,2950,2950,2887.83,final inspection sent on 14/3,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250060-R0-AEDMM-25-00024-METALUCK-ZINC-Nigeria-LOSF00169500.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%204.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/200009339_-_Inspection_Report_(3_Containers_-_BL_ONEYLOSF00169500)_-_Metaluck_Global_Resources_DMCC.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice_(1)%201.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/MTKEAF2025-001_Nigeria_Final_Calculation.pdf","May 6, 2025 3:49 PM"
"Befesa Zinc Korea Co.,Ltd. / 85 /ELC2500000253/(7 containers-Andec) ,  (21 containers - villingota) ,",GQL0382357,Done,,03PI-2025,"$79,919.55",05ZND/2025,ELECTRIC ARC FURNACE DUST (EAFD),CMA,"January 26, 2025","February 27, 2025",144.25,629.546,500,"81,704.93 "," $75,985.58",$-956.48,24.28,23.68,9.89,9.91,2829.1,2829.1,"2,799.70","DHL6556819802 Arrived on 
February 12, 2025 ",,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250044-R0-AEDMM-25-00024-METALUCK-ZINC-ECUADOR-GQL0382357-Andec.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250045-R0-AEDMM-25-00024-METALUCK-ZINC-ECUADOR-GQL0382357-VILLINGOTA_.pdf",shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%205.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/05ZND_Assay_Certicicate.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/85_david_commotion__invoice.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250005_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(_BL_No.GQL0382357).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Final_invoice_(6).pdf","May 6, 2025 3:49 PM"
"XIN SHENG ENVIRONMENTAL (M) SDN BHD / 86/ VILINGOTA ",GQL0384135,In progress/ Final,MTKEAF2025/002,08PI-2025,"$67,435.33",14ZND/2025,Zinc Concentrate Powder,CMA,"February 9, 2025","March 29, 2025",158.36,1542.026,2180,"218,147.87  ","$139,805.15",,23.34,,10.54,,2950,2950,,final inspection sent on 14/3,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250069-R0-AEDMM-25-00024-METALUCK-ZINC_-_ECUADOR_____For_BL_NO._GQL0384135.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%206.pdf,,"May 6, 2025 3:49 PM"
"XIN SHENG ENVIRONMENTAL (M) SDN BHD / 86/ GUATEMALA ",249876488,In progress/ Final,MTKEAF2025/002,10PI-2025,,15ZND/2025,Zinc Concentrate Powder,MEARSK,"February 18, 2025","April 26, 2025",418.59,400.91,2180,"166,703.89"," $138,751.15",,39.97,,0.51,,2950,2950,,final inspection sent on 7/4,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250092-R0-AEDMM-25-00024-METALUCK-ZINC-Guatemala-249876488.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%207.pdf,,"May 6, 2025 3:49 PM"
XIN SHENG ENVIRONMENTAL (M) SDN BHD / 86/ NOVACERO,GQL0385600,In progress/ Final,MTKEAF2025/002,12PI-2025,,17ZND/2025,Zinc Concentrate Powder,CMA,"February 23, 2025","April 24, 2025",218.96,546.26,2180,"118,291.83 "," 98,753.94",,27.49,,0.92,,2950,2950,,final inspection sent on 7/4,,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250101-R0-AEDMM-25-00059-METALUCK-ZINC-DGQL0385600-Novacero.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%208.pdf,,"May 6, 2025 3:49 PM"
Befesa/ 87 /ELC2500000462/VILLINGOTA,GQL0384200,Done,,07PI-2025,"$499,825.71",08ZND/2025,ELECTRIC ARC FURNACE DUST (EAFD),CMA,"February 9, 2025","March 25, 2025",173.37,969.535,"3,100","166,801.31 ","154,892.92","$1,902.74","27.04 ","26.53 ",0.71,3.79,2853.8,2853.8,"2,887.83","DHL3146237452.Estimated Time of Arrival
February 28,",,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250075-R0-AEDMM-25-00024-METALUCK-ZINC-ECUADOR_-GQL0384200.pdf,shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%209.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL_invoice_(4).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/David_Comms_for_BL_end_56606200.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250009_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(BL_No.GQL0384200).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/08ZND_Assay_Certificate.pdf","May 6, 2025 3:49 PM"
"Befesa/ 87 /ELC2500000462/ANDEC MONTHLY GENERATION ",GQL0385606,Done,,07PI-2025,"$499,825.71",12ZND/2025,EAFD,CMA,"February 23, 2025","March 23, 2025",173.37,"1,080",3100,"170,638.38 ","$158,693.69","$1,676.58","27   ","26.37 ",6.9,9.67,2853.8,2853.8,"2,887.83","DHL
1825746112.Estimated Time of Arrival
March 17",,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250096-R0-AEDMM-25-00059-METALUCK-ZINC-GQL0385606-ADELCA(13-14_02_25).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250097-R0-AEDMM-25-00059-METALUCK-ZINC-GQL0385606-_ANDEC(15_02_25).pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/LABORATORY_REPORT-AEDML250098-R0-AEDMM-25-00059-METALUCK-ZINC-GQL0385606-Villingota(15_02_25).pdf",shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FULL_SET_OF_DOC%2010.pdf,"shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/12ZND_Assay_Certificate.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/David_Comms_for_BL_end_56606200%201.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/FINAL_invoice_(4)%201.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250008((BL_No.GQL0385606)_INVOICE.pdf, shipping%20schedule%202025%201eba83cf6f18805e8536eb1202f67822/Report_No._P-C-250008_ELECTRIC_ARC_FURNACE_DUST(EAFD)_INSPECTION(BL_No.GQL0385606).pdf","May 6, 2025 3:49 PM"
